[20210921033041] PID : [   266] STATE: [0] EVENT : [PRECHECK]
[20210921033135] PID : [   284] STATE: [0] EVENT : [PRECHECK]
[20210921033138] PID : [   284] STATE: [1] EVENT : [INPROCESS]
[20210921033138] PID : [   284] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033138] PID : [   285] STATE: [0] EVENT : [PRECHECK]
[20210921033141] PID : [   285] STATE: [1] EVENT : [INPROCESS]
[20210921033141] PID : [   285] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033141] PID : [   286] STATE: [0] EVENT : [PRECHECK]
[20210921033144] PID : [   286] STATE: [1] EVENT : [INPROCESS]
[20210921033144] PID : [   286] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033144] PID : [   287] STATE: [0] EVENT : [PRECHECK]
[20210921033147] PID : [   287] STATE: [1] EVENT : [INPROCESS]
[20210921033147] PID : [   287] STATE: [2] EVENT : [TRASH]
[20210921033147] PID : [   288] STATE: [0] EVENT : [PRECHECK]
[20210921033150] PID : [   288] STATE: [1] EVENT : [INPROCESS]
[20210921033150] PID : [   288] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033150] PID : [   289] STATE: [0] EVENT : [PRECHECK]
[20210921033153] PID : [   289] STATE: [1] EVENT : [INPROCESS]
[20210921033153] PID : [   289] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033153] PID : [   290] STATE: [0] EVENT : [PRECHECK]
[20210921033156] PID : [   290] STATE: [1] EVENT : [INPROCESS]
[20210921033156] PID : [   290] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033156] PID : [   291] STATE: [0] EVENT : [PRECHECK]
[20210921033159] PID : [   291] STATE: [1] EVENT : [INPROCESS]
[20210921033159] PID : [   291] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033159] PID : [   292] STATE: [0] EVENT : [PRECHECK]
[20210921033202] PID : [   292] STATE: [1] EVENT : [INPROCESS]
[20210921033202] PID : [   292] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033202] PID : [   293] STATE: [0] EVENT : [PRECHECK]
[20210921033205] PID : [   293] STATE: [1] EVENT : [INPROCESS]
[20210921033205] PID : [   293] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033205] PID : [   294] STATE: [0] EVENT : [PRECHECK]
[20210921033208] PID : [   294] STATE: [1] EVENT : [INPROCESS]
[20210921033208] PID : [   294] STATE: [2] EVENT : [TRASH]
[20210921033208] PID : [   295] STATE: [0] EVENT : [PRECHECK]
[20210921033211] PID : [   295] STATE: [1] EVENT : [INPROCESS]
[20210921033211] PID : [   295] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033211] PID : [   296] STATE: [0] EVENT : [PRECHECK]
[20210921033214] PID : [   296] STATE: [1] EVENT : [INPROCESS]
[20210921033214] PID : [   296] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033214] PID : [   297] STATE: [0] EVENT : [PRECHECK]
[20210921033217] PID : [   297] STATE: [1] EVENT : [INPROCESS]
[20210921033217] PID : [   297] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033217] PID : [   298] STATE: [0] EVENT : [PRECHECK]
[20210921033220] PID : [   298] STATE: [1] EVENT : [INPROCESS]
[20210921033220] PID : [   298] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033220] PID : [   299] STATE: [0] EVENT : [PRECHECK]
[20210921033223] PID : [   299] STATE: [1] EVENT : [INPROCESS]
[20210921033223] PID : [   299] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033223] PID : [   300] STATE: [0] EVENT : [PRECHECK]
[20210921033226] PID : [   300] STATE: [1] EVENT : [INPROCESS]
[20210921033226] PID : [   300] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033226] PID : [   301] STATE: [0] EVENT : [PRECHECK]
[20210921033229] PID : [   301] STATE: [1] EVENT : [INPROCESS]
[20210921033229] PID : [   301] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033229] PID : [   302] STATE: [0] EVENT : [PRECHECK]
[20210921033232] PID : [   302] STATE: [1] EVENT : [INPROCESS]
[20210921033232] PID : [   302] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033232] PID : [   303] STATE: [0] EVENT : [PRECHECK]
[20210921033235] PID : [   303] STATE: [1] EVENT : [INPROCESS]
[20210921033235] PID : [   303] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033235] PID : [   304] STATE: [0] EVENT : [PRECHECK]
[20210921033238] PID : [   304] STATE: [1] EVENT : [INPROCESS]
[20210921033238] PID : [   304] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921033238] PID : [   305] STATE: [0] EVENT : [PRECHECK]
[20210921034959] PID : [   306] STATE: [0] EVENT : [PRECHECK]
[20210921035002] PID : [   306] STATE: [1] EVENT : [INPROCESS]
[20210921035002] PID : [   306] STATE: [2] EVENT : [TRASH]
[20210921035002] PID : [   307] STATE: [0] EVENT : [PRECHECK]
[20210921035005] PID : [   307] STATE: [1] EVENT : [INPROCESS]
[20210921035005] PID : [   307] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035005] PID : [   308] STATE: [0] EVENT : [PRECHECK]
[20210921035008] PID : [   308] STATE: [1] EVENT : [INPROCESS]
[20210921035008] PID : [   308] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035008] PID : [   309] STATE: [0] EVENT : [PRECHECK]
[20210921035011] PID : [   309] STATE: [1] EVENT : [INPROCESS]
[20210921035011] PID : [   309] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035011] PID : [   310] STATE: [0] EVENT : [PRECHECK]
[20210921035014] PID : [   310] STATE: [1] EVENT : [INPROCESS]
[20210921035014] PID : [   310] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035014] PID : [   311] STATE: [0] EVENT : [PRECHECK]
[20210921035017] PID : [   311] STATE: [1] EVENT : [INPROCESS]
[20210921035017] PID : [   311] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035017] PID : [   312] STATE: [0] EVENT : [PRECHECK]
[20210921035020] PID : [   312] STATE: [1] EVENT : [INPROCESS]
[20210921035020] PID : [   312] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035020] PID : [   313] STATE: [0] EVENT : [PRECHECK]
[20210921035156] PID : [   314] STATE: [0] EVENT : [PRECHECK]
[20210921035159] PID : [   314] STATE: [1] EVENT : [INPROCESS]
[20210921035159] PID : [   314] STATE: [2] EVENT : [TRASH]
[20210921035159] PID : [   315] STATE: [0] EVENT : [PRECHECK]
[20210921035202] PID : [   315] STATE: [1] EVENT : [INPROCESS]
[20210921035202] PID : [   315] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035202] PID : [   316] STATE: [0] EVENT : [PRECHECK]
[20210921035205] PID : [   316] STATE: [1] EVENT : [INPROCESS]
[20210921035205] PID : [   316] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035205] PID : [   317] STATE: [0] EVENT : [PRECHECK]
[20210921035208] PID : [   317] STATE: [1] EVENT : [INPROCESS]
[20210921035208] PID : [   317] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035208] PID : [   318] STATE: [0] EVENT : [PRECHECK]
[20210921035211] PID : [   318] STATE: [1] EVENT : [INPROCESS]
[20210921035211] PID : [   318] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035211] PID : [   319] STATE: [0] EVENT : [PRECHECK]
[20210921035214] PID : [   319] STATE: [1] EVENT : [INPROCESS]
[20210921035214] PID : [   319] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035214] PID : [   320] STATE: [0] EVENT : [PRECHECK]
[20210921035217] PID : [   320] STATE: [1] EVENT : [INPROCESS]
[20210921035217] PID : [   320] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035217] PID : [   321] STATE: [0] EVENT : [PRECHECK]
[20210921035220] PID : [   321] STATE: [1] EVENT : [INPROCESS]
[20210921035220] PID : [   321] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035220] PID : [   322] STATE: [0] EVENT : [PRECHECK]
[20210921035223] PID : [   322] STATE: [1] EVENT : [INPROCESS]
[20210921035223] PID : [   322] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035223] PID : [   323] STATE: [0] EVENT : [PRECHECK]
[20210921035226] PID : [   323] STATE: [1] EVENT : [INPROCESS]
[20210921035226] PID : [   323] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035226] PID : [   324] STATE: [0] EVENT : [PRECHECK]
[20210921035259] PID : [   325] STATE: [0] EVENT : [PRECHECK]
[20210921035302] PID : [   325] STATE: [1] EVENT : [INPROCESS]
[20210921035302] PID : [   325] STATE: [2] EVENT : [TRASH]
[20210921035302] PID : [   326] STATE: [0] EVENT : [PRECHECK]
[20210921035305] PID : [   326] STATE: [1] EVENT : [INPROCESS]
[20210921035305] PID : [   326] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035305] PID : [   327] STATE: [0] EVENT : [PRECHECK]
[20210921035308] PID : [   327] STATE: [1] EVENT : [INPROCESS]
[20210921035308] PID : [   327] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035308] PID : [   328] STATE: [0] EVENT : [PRECHECK]
[20210921035311] PID : [   328] STATE: [1] EVENT : [INPROCESS]
[20210921035311] PID : [   328] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035311] PID : [   329] STATE: [0] EVENT : [PRECHECK]
[20210921035314] PID : [   329] STATE: [1] EVENT : [INPROCESS]
[20210921035314] PID : [   329] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035314] PID : [   330] STATE: [0] EVENT : [PRECHECK]
[20210921035317] PID : [   330] STATE: [1] EVENT : [INPROCESS]
[20210921035317] PID : [   330] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035317] PID : [   331] STATE: [0] EVENT : [PRECHECK]
[20210921035320] PID : [   331] STATE: [1] EVENT : [INPROCESS]
[20210921035320] PID : [   331] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035320] PID : [   332] STATE: [0] EVENT : [PRECHECK]
[20210921035323] PID : [   332] STATE: [1] EVENT : [INPROCESS]
[20210921035323] PID : [   332] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035323] PID : [   333] STATE: [0] EVENT : [PRECHECK]
[20210921035326] PID : [   333] STATE: [1] EVENT : [INPROCESS]
[20210921035326] PID : [   333] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035326] PID : [   334] STATE: [0] EVENT : [PRECHECK]
[20210921035329] PID : [   334] STATE: [1] EVENT : [INPROCESS]
[20210921035329] PID : [   334] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035329] PID : [   335] STATE: [0] EVENT : [PRECHECK]
[20210921035332] PID : [   335] STATE: [1] EVENT : [INPROCESS]
[20210921035332] PID : [   335] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035332] PID : [   336] STATE: [0] EVENT : [PRECHECK]
[20210921035335] PID : [   336] STATE: [1] EVENT : [INPROCESS]
[20210921035335] PID : [   336] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035335] PID : [   337] STATE: [0] EVENT : [PRECHECK]
[20210921035338] PID : [   337] STATE: [1] EVENT : [INPROCESS]
[20210921035338] PID : [   337] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035338] PID : [   338] STATE: [0] EVENT : [PRECHECK]
[20210921035341] PID : [   338] STATE: [1] EVENT : [INPROCESS]
[20210921035341] PID : [   338] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035341] PID : [   339] STATE: [0] EVENT : [PRECHECK]
[20210921035344] PID : [   339] STATE: [1] EVENT : [INPROCESS]
[20210921035344] PID : [   339] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035344] PID : [   340] STATE: [0] EVENT : [PRECHECK]
[20210921035347] PID : [   340] STATE: [1] EVENT : [INPROCESS]
[20210921035347] PID : [   340] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035347] PID : [   341] STATE: [0] EVENT : [PRECHECK]
[20210921035350] PID : [   341] STATE: [1] EVENT : [INPROCESS]
[20210921035350] PID : [   341] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035350] PID : [   342] STATE: [0] EVENT : [PRECHECK]
[20210921035353] PID : [   342] STATE: [1] EVENT : [INPROCESS]
[20210921035353] PID : [   342] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035353] PID : [   343] STATE: [0] EVENT : [PRECHECK]
[20210921035356] PID : [   343] STATE: [1] EVENT : [INPROCESS]
[20210921035356] PID : [   343] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035356] PID : [   344] STATE: [0] EVENT : [PRECHECK]
[20210921035359] PID : [   344] STATE: [1] EVENT : [INPROCESS]
[20210921035359] PID : [   344] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035359] PID : [   345] STATE: [0] EVENT : [PRECHECK]
[20210921035402] PID : [   345] STATE: [1] EVENT : [INPROCESS]
[20210921035402] PID : [   345] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035402] PID : [   346] STATE: [0] EVENT : [PRECHECK]
[20210921035508] PID : [   347] STATE: [0] EVENT : [PRECHECK]
[20210921035511] PID : [   347] STATE: [1] EVENT : [INPROCESS]
[20210921035511] PID : [   347] STATE: [2] EVENT : [TRASH]
[20210921035511] PID : [   348] STATE: [0] EVENT : [PRECHECK]
[20210921035514] PID : [   348] STATE: [1] EVENT : [INPROCESS]
[20210921035514] PID : [   348] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035514] PID : [   349] STATE: [0] EVENT : [PRECHECK]
[20210921035517] PID : [   349] STATE: [1] EVENT : [INPROCESS]
[20210921035517] PID : [   349] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035517] PID : [   350] STATE: [0] EVENT : [PRECHECK]
[20210921035520] PID : [   350] STATE: [1] EVENT : [INPROCESS]
[20210921035520] PID : [   350] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035520] PID : [   351] STATE: [0] EVENT : [PRECHECK]
[20210921035523] PID : [   351] STATE: [1] EVENT : [INPROCESS]
[20210921035523] PID : [   351] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035523] PID : [   352] STATE: [0] EVENT : [PRECHECK]
[20210921035526] PID : [   352] STATE: [1] EVENT : [INPROCESS]
[20210921035526] PID : [   352] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035526] PID : [   353] STATE: [0] EVENT : [PRECHECK]
[20210921035529] PID : [   353] STATE: [1] EVENT : [INPROCESS]
[20210921035529] PID : [   353] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035529] PID : [   354] STATE: [0] EVENT : [PRECHECK]
[20210921035532] PID : [   354] STATE: [1] EVENT : [INPROCESS]
[20210921035532] PID : [   354] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035532] PID : [   355] STATE: [0] EVENT : [PRECHECK]
[20210921035535] PID : [   355] STATE: [1] EVENT : [INPROCESS]
[20210921035535] PID : [   355] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035535] PID : [   356] STATE: [0] EVENT : [PRECHECK]
[20210921035602] PID : [   357] STATE: [0] EVENT : [PRECHECK]
[20210921035605] PID : [   357] STATE: [1] EVENT : [INPROCESS]
[20210921035605] PID : [   357] STATE: [2] EVENT : [TRASH]
[20210921035605] PID : [   358] STATE: [0] EVENT : [PRECHECK]
[20210921035608] PID : [   358] STATE: [1] EVENT : [INPROCESS]
[20210921035608] PID : [   358] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035608] PID : [   359] STATE: [0] EVENT : [PRECHECK]
[20210921035611] PID : [   359] STATE: [1] EVENT : [INPROCESS]
[20210921035611] PID : [   359] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035611] PID : [   360] STATE: [0] EVENT : [PRECHECK]
[20210921035614] PID : [   360] STATE: [1] EVENT : [INPROCESS]
[20210921035614] PID : [   360] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035614] PID : [   361] STATE: [0] EVENT : [PRECHECK]
[20210921035617] PID : [   361] STATE: [1] EVENT : [INPROCESS]
[20210921035617] PID : [   361] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035617] PID : [   362] STATE: [0] EVENT : [PRECHECK]
[20210921035620] PID : [   362] STATE: [1] EVENT : [INPROCESS]
[20210921035620] PID : [   362] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035620] PID : [   363] STATE: [0] EVENT : [PRECHECK]
[20210921035623] PID : [   363] STATE: [1] EVENT : [INPROCESS]
[20210921035623] PID : [   363] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035623] PID : [   364] STATE: [0] EVENT : [PRECHECK]
[20210921035626] PID : [   364] STATE: [1] EVENT : [INPROCESS]
[20210921035626] PID : [   364] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035626] PID : [   365] STATE: [0] EVENT : [PRECHECK]
[20210921035629] PID : [   365] STATE: [1] EVENT : [INPROCESS]
[20210921035629] PID : [   365] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035629] PID : [   366] STATE: [0] EVENT : [PRECHECK]
[20210921035632] PID : [   366] STATE: [1] EVENT : [INPROCESS]
[20210921035632] PID : [   366] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035632] PID : [   367] STATE: [0] EVENT : [PRECHECK]
[20210921035635] PID : [   367] STATE: [1] EVENT : [INPROCESS]
[20210921035635] PID : [   367] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035635] PID : [   368] STATE: [0] EVENT : [PRECHECK]
[20210921035638] PID : [   368] STATE: [1] EVENT : [INPROCESS]
[20210921035638] PID : [   368] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035638] PID : [   369] STATE: [0] EVENT : [PRECHECK]
[20210921035641] PID : [   369] STATE: [1] EVENT : [INPROCESS]
[20210921035641] PID : [   369] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035641] PID : [   370] STATE: [0] EVENT : [PRECHECK]
[20210921035810] PID : [   371] STATE: [0] EVENT : [PRECHECK]
[20210921035813] PID : [   371] STATE: [1] EVENT : [INPROCESS]
[20210921035813] PID : [   371] STATE: [2] EVENT : [TRASH]
[20210921035813] PID : [   372] STATE: [0] EVENT : [PRECHECK]
[20210921035816] PID : [   372] STATE: [1] EVENT : [INPROCESS]
[20210921035816] PID : [   372] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035816] PID : [   373] STATE: [0] EVENT : [PRECHECK]
[20210921035819] PID : [   373] STATE: [1] EVENT : [INPROCESS]
[20210921035819] PID : [   373] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035819] PID : [   374] STATE: [0] EVENT : [PRECHECK]
[20210921035822] PID : [   374] STATE: [1] EVENT : [INPROCESS]
[20210921035822] PID : [   374] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035822] PID : [   375] STATE: [0] EVENT : [PRECHECK]
[20210921035825] PID : [   375] STATE: [1] EVENT : [INPROCESS]
[20210921035825] PID : [   375] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035825] PID : [   376] STATE: [0] EVENT : [PRECHECK]
[20210921035828] PID : [   376] STATE: [1] EVENT : [INPROCESS]
[20210921035828] PID : [   376] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035828] PID : [   377] STATE: [0] EVENT : [PRECHECK]
[20210921035831] PID : [   377] STATE: [1] EVENT : [INPROCESS]
[20210921035831] PID : [   377] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035831] PID : [   378] STATE: [0] EVENT : [PRECHECK]
[20210921035834] PID : [   378] STATE: [1] EVENT : [INPROCESS]
[20210921035834] PID : [   378] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035834] PID : [   379] STATE: [0] EVENT : [PRECHECK]
[20210921035837] PID : [   379] STATE: [1] EVENT : [INPROCESS]
[20210921035837] PID : [   379] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035837] PID : [   380] STATE: [0] EVENT : [PRECHECK]
[20210921035840] PID : [   380] STATE: [1] EVENT : [INPROCESS]
[20210921035840] PID : [   380] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035840] PID : [   381] STATE: [0] EVENT : [PRECHECK]
[20210921035843] PID : [   381] STATE: [1] EVENT : [INPROCESS]
[20210921035843] PID : [   381] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035843] PID : [   382] STATE: [0] EVENT : [PRECHECK]
[20210921035846] PID : [   382] STATE: [1] EVENT : [INPROCESS]
[20210921035846] PID : [   382] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035846] PID : [   383] STATE: [0] EVENT : [PRECHECK]
[20210921035849] PID : [   383] STATE: [1] EVENT : [INPROCESS]
[20210921035849] PID : [   383] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035849] PID : [   384] STATE: [0] EVENT : [PRECHECK]
[20210921035852] PID : [   384] STATE: [1] EVENT : [INPROCESS]
[20210921035852] PID : [   384] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035852] PID : [   385] STATE: [0] EVENT : [PRECHECK]
[20210921035855] PID : [   385] STATE: [1] EVENT : [INPROCESS]
[20210921035855] PID : [   385] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035855] PID : [   386] STATE: [0] EVENT : [PRECHECK]
[20210921035858] PID : [   386] STATE: [1] EVENT : [INPROCESS]
[20210921035858] PID : [   386] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035858] PID : [   387] STATE: [0] EVENT : [PRECHECK]
[20210921035901] PID : [   387] STATE: [1] EVENT : [INPROCESS]
[20210921035901] PID : [   387] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035901] PID : [   388] STATE: [0] EVENT : [PRECHECK]
[20210921035904] PID : [   388] STATE: [1] EVENT : [INPROCESS]
[20210921035904] PID : [   388] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035904] PID : [   389] STATE: [0] EVENT : [PRECHECK]
[20210921035907] PID : [   389] STATE: [1] EVENT : [INPROCESS]
[20210921035907] PID : [   389] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035907] PID : [   390] STATE: [0] EVENT : [PRECHECK]
[20210921035910] PID : [   390] STATE: [1] EVENT : [INPROCESS]
[20210921035910] PID : [   390] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035910] PID : [   391] STATE: [0] EVENT : [PRECHECK]
[20210921035913] PID : [   391] STATE: [1] EVENT : [INPROCESS]
[20210921035913] PID : [   391] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035913] PID : [   392] STATE: [0] EVENT : [PRECHECK]
[20210921035916] PID : [   392] STATE: [1] EVENT : [INPROCESS]
[20210921035916] PID : [   392] STATE: [2] EVENT : [TRASH]
[20210921035916] PID : [   393] STATE: [0] EVENT : [PRECHECK]
[20210921035919] PID : [   393] STATE: [1] EVENT : [INPROCESS]
[20210921035919] PID : [   393] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035920] PID : [   394] STATE: [0] EVENT : [PRECHECK]
[20210921035923] PID : [   394] STATE: [1] EVENT : [INPROCESS]
[20210921035923] PID : [   394] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035923] PID : [   395] STATE: [0] EVENT : [PRECHECK]
[20210921035926] PID : [   395] STATE: [1] EVENT : [INPROCESS]
[20210921035926] PID : [   395] STATE: [2] EVENT : [PASSQUALTYCHECK]
[20210921035926] PID : [   396] STATE: [0] EVENT : [PRECHECK]
[20210921035929] PID : [   396] STATE: [1] EVENT : [INPROCESS]
